timestamp,x,y,scale
2023-08-01 20:33:25,96,620,1
2023-08-01 20:33:25,96,621,1
2023-08-01 20:33:25,95,621,1
2023-08-01 20:33:25,95,622,1
2023-08-01 20:33:25,95,623,1
2023-08-01 20:33:25,95,624,1
2023-08-01 20:33:25,95,625,1
2023-08-01 20:33:26,97,623,1
2023-08-01 20:33:26,102,618,1
2023-08-01 20:33:26,105,615,1
2023-08-01 20:33:26,108,610,1
2023-08-01 20:33:26,110,608,1
2023-08-01 20:33:26,113,604,1
2023-08-01 20:33:26,117,600,1
2023-08-01 20:33:26,121,595,1
2023-08-01 20:33:26,126,587,1
2023-08-01 20:33:26,133,575,1
2023-08-01 20:33:26,139,564,1
2023-08-01 20:33:26,144,551,1
2023-08-01 20:33:26,151,533,2
2023-08-01 20:33:26,156,517,2
2023-08-01 20:33:26,160,501,2
2023-08-01 20:33:26,162,480,2
2023-08-01 20:33:26,164,460,2
2023-08-01 20:33:26,164,438,2
2023-08-01 20:33:26,164,419,2
2023-08-01 20:33:26,164,406,2
2023-08-01 20:33:26,164,397,3
2023-08-01 20:33:26,164,391,3
2023-08-01 20:33:26,164,393,3
2023-08-01 20:33:26,163,397,3
2023-08-01 20:33:26,162,400,2
2023-08-01 20:33:26,161,407,2
2023-08-01 20:33:26,160,416,2
2023-08-01 20:33:26,160,425,2
2023-08-01 20:33:26,159,439,2
2023-08-01 20:33:26,156,456,2
2023-08-01 20:33:26,152,474,2
2023-08-01 20:33:26,149,493,2
2023-08-01 20:33:26,145,509,2
2023-08-01 20:33:26,143,518,2
2023-08-01 20:33:26,141,529,2
2023-08-01 20:33:26,139,540,2
2023-08-01 20:33:26,138,551,1
2023-08-01 20:33:26,136,560,1
2023-08-01 20:33:26,135,567,1
2023-08-01 20:33:26,134,574,1
2023-08-01 20:33:26,133,580,1
2023-08-01 20:33:26,132,585,1
2023-08-01 20:33:26,132,590,1
2023-08-01 20:33:26,131,593,1
2023-08-01 20:33:26,130,595,1
2023-08-01 20:33:26,129,598,1
2023-08-01 20:33:26,129,600,1
2023-08-01 20:33:26,128,602,1
2023-08-01 20:33:26,127,605,1
2023-08-01 20:33:26,126,607,1
2023-08-01 20:33:26,126,609,1
2023-08-01 20:33:26,125,611,1
2023-08-01 20:33:26,125,612,1
2023-08-01 20:33:26,124,615,1
2023-08-01 20:33:26,123,618,1
2023-08-01 20:33:26,122,621,1
2023-08-01 20:33:26,121,623,1
2023-08-01 20:33:26,120,626,1
2023-08-01 20:33:26,119,630,1
2023-08-01 20:33:26,119,635,1
2023-08-01 20:33:26,117,639,1
2023-08-01 20:33:26,116,641,1
2023-08-01 20:33:26,115,643,1
2023-08-01 20:33:26,114,647,1
2023-08-01 20:33:26,114,650,1
2023-08-01 20:33:26,113,653,1
2023-08-01 20:33:26,111,658,1
2023-08-01 20:33:26,109,662,1
2023-08-01 20:33:26,108,667,1
2023-08-01 20:33:26,108,670,1
2023-08-01 20:33:26,106,674,1
2023-08-01 20:33:26,105,677,1
2023-08-01 20:33:26,104,683,1
2023-08-01 20:33:26,104,688,1
2023-08-01 20:33:26,103,694,1
2023-08-01 20:33:26,102,699,1
2023-08-01 20:33:26,101,704,0
2023-08-01 20:33:26,101,707,0
2023-08-01 20:33:26,101,709,0
2023-08-01 20:33:26,100,711,0
2023-08-01 20:33:26,100,713,0
2023-08-01 20:33:26,100,715,0
2023-08-01 20:33:26,100,716,0
2023-08-01 20:33:26,100,717,0
2023-08-01 20:33:26,100,718,0
2023-08-01 20:33:26,100,719,0
